#,Store Name,Type,Address,Phone / Email,Hours,Distance from E Broadway & Renfrew,Open Tomorrow AM (Tue Jun 17 2026),What They Buy / Sell / Trade,Trade Score,Notes / Action
1,The Hackery,Used Computer Store,"304 Victoria Drive, Vancouver BC V5L 4C7",(778) 373-8295,"Tue–Sat: 11am – 6pm
Closed Mon & Sun",~1.5 km (CLOSEST),YES – opens 11am,"Refurbished PCs & Mac; buys/sells desktops, laptops, monitors, parts; knowledgeable staff",4,Right in East Van — walk or quick bus from your area. Call ahead (778) 373-8295 to ask about RTX desktop tower inventory before visiting. Website: thehackery.ca
2,A-1 Trade & Loan,Pawn Shop,"2641 Commercial Drive, Vancouver BC V5N 4C3",(604) 875-8005,"Mon–Sat: 10am – 4pm
Closed Sun",~1 km (VERY CLOSE),YES – opens 10am,"Vancouver's oldest pawnshop (est. 1991); buys/sells electronics, gaming consoles, laptops",3,On Commercial Drive — extremely close. Note: CLOSES AT 4PM so go in the morning. Ask if they have gaming PC towers in stock. Negotiable on bundles.
3,PayMore Vancouver,Electronics Buy/Sell/Trade,"4534 Main Street, Vancouver BC V5V 3R5
(near E 29th Ave)",N/A (no public phone listed — visit in person or DM on Instagram),"Mon–Sat: 11am – 7pm
Sun: 10am – 6pm",~3.5 km,YES – opens 11am,"Dedicated electronics trade-in store; buys/sells/trades gaming PCs, PS5, consoles, laptops, phones",5,Core business model is exactly what you need. Bring PS5 + Yoga and ask for a bundle trade quote. May have gaming desktop towers in store. Instagram: @paymorestores
4,pcbuy.ca (PCBUY),Used & Custom PC Store (Appt Only),"1868 Glen Drive, Vancouver BC V6A 4K4","(778) 378-5019
info@pcbuy.ca","Mon–Sat (appointment required)
Call to book",~4 km,CALL TO BOOK – appointment required,New & used custom PCs; formal GPU/computer trade-in program; old hardware → cash or store credit,4,Has an explicit trade-in program. Call (778) 378-5019 ASAP or email info@pcbuy.ca to book for tomorrow. Facebook: PCBUY Downtown Vancouver. Best option for trading Yoga Slim 7 for PC credit.
5,PC Galore,Used Computer Store,"2744 W 4th Avenue, Vancouver BC V6K 1R1
(Kitsilano)",(604) 732-7816,"Mon–Sat: 10am – 6pm
Closed Sun",~7 km,YES – opens 10am,"Laptops, desktops, accessories; buys and trades used computers; accepts most laptops/desktops meeting min specs",4,"Vancouver's oldest used computer store (est. 1994, 30+ years). High credibility. Ask about gaming desktop inventory with RTX cards. Instagram: @pcgalore | Site: pcgalore.com"
6,Metro PawnBrokers,Pawn Shop,"4939 Kingsway, Burnaby BC V5H 2E5",(604) 451-5626,"Mon–Sat: 9:30am – 6pm
Closed Sun",~6 km,YES – opens 9:30am,"Buys/sells gaming consoles (PlayStation, Xbox, Nintendo), electronics, laptops; family-owned",3,Explicitly stocks PlayStation gear. Family-owned = more flexible on bundle deals. Call ahead to ask about gaming PC towers. Located near Metrotown.
7,Computer 101,PC Repair & Build Shop,"Vancouver BC (exact address not publicly listed)
Call for location","(604) 901-9799
computer101.ca",Mon–Sat: 10am – 7pm,Unknown (call first),YES – opens 10am (call for address),"PC repair, custom PC builds, PS5 repair, MacBook/laptop repair; serves all Metro Vancouver",2,Does PS5 repairs = understands PS5 value well. Call (604) 901-9799 to ask if they have any used gaming desktop towers for sale and if they accept trade-ins. No walk-in without confirming address.
8,SoneXPC (Sonex Computer),Custom PC Builder,"#1035 – 8766 McKim Way, Richmond BC V6X 4G4",(604) 717-6111,"Mon–Sat: 10am – 6pm
Closed Sun",~16 km (Richmond),YES – opens 10am,"Custom-built gaming PCs; carries RTX 5060Ti, 5070, 5070Ti; primarily new builds",2,Primarily a new PC builder — less likely to do used-hardware bundle swaps. Better to sell PS5/laptop separately and use cash here if needed. Instagram: @sonexpc
9,Roath's Pawn Shop,Pawn Shop,"13573 King George Blvd, Surrey BC V3T 2V1",(604) 584-4010,"Mon–Fri: 9am – 6pm
Sat: 9am – 5pm
Closed Sun",~22 km (Surrey),YES – opens 9am,"Pawn/buy/sell electronics, jewelry, gaming consoles; carries some tech items",2,Far from East Van (~50 min transit). Primarily jewelry + general electronics. No specific mention of gaming desktop towers. Lower priority than closer options. Call first before making the trip.
10,A-Z Video Games,Video Game Store,"748 Broadway E #102, Vancouver BC V5T 1X9",(604) 874-3919,⚠️ APPEARS CLOSED (Yelp: marked CLOSED),~2 km,NO – likely permanently closed,Used to buy/sell/trade video games; no gaming PC inventory,1,"RED FLAG: Marked as CLOSED on Yelp as of 2026. Even if open, they focused on game titles not PC hardware. Do not visit without calling ahead to confirm they're still operating."
